Loading raw data...
  Raw videos: 23865
  After dedup: 23865 unique videos

=== LLM classification (backlash vs neutral) ===
  Using model: anthropic/claude-sonnet-4
  Keys: 7, workers: 21 (3 per key)
  Videos to classify: 23865
  Pending: 23865 (skipping 0 already classified)
    [7900/23865] 14.4/s | YES: 4254 NO: 3646 | errors: 0 | ETA: 18.4m
    [7950/23865] 14.5/s | YES: 4268 NO: 3682 | errors: 0 | ETA: 18.4m
    [8000/23865] 14.4/s | YES: 4291 NO: 3709 | errors: 0 | ETA: 18.3m
    [8050/23865] 14.4/s | YES: 4306 NO: 3744 | errors: 0 | ETA: 18.2m
    [8100/23865] 14.4/s | YES: 4320 NO: 3780 | errors: 0 | ETA: 18.2m
    [8150/23865] 14.4/s | YES: 4331 NO: 3819 | errors: 0 | ETA: 18.1m
    [8200/23865] 14.4/s | YES: 4346 NO: 3854 | errors: 0 | ETA: 18.1m
    [8250/23865] 14.4/s | YES: 4356 NO: 3894 | errors: 0 | ETA: 18.0m
    [8300/23865] 14.4/s | YES: 4361 NO: 3939 | errors: 0 | ETA: 18.0m
    [8350/23865] 14.4/s | YES: 4371 NO: 3979 | errors: 0 | ETA: 17.9m
    [8400/23865] 14.4/s | YES: 4377 NO: 4023 | errors: 0 | ETA: 17.8m
    [8450/23865] 14.4/s | YES: 4407 NO: 4043 | errors: 0 | ETA: 17.8m
    [8500/23865] 14.4/s | YES: 4435 NO: 4065 | errors: 0 | ETA: 17.8m
    [8550/23865] 14.4/s | YES: 4462 NO: 4088 | errors: 0 | ETA: 17.7m
    [8600/23865] 14.4/s | YES: 4488 NO: 4112 | errors: 0 | ETA: 17.6m
    [8650/23865] 14.4/s | YES: 4518 NO: 4132 | errors: 0 | ETA: 17.6m
    [8700/23865] 14.4/s | YES: 4542 NO: 4158 | errors: 0 | ETA: 17.5m
    [8750/23865] 14.4/s | YES: 4573 NO: 4177 | errors: 0 | ETA: 17.4m
    [8800/23865] 14.4/s | YES: 4596 NO: 4204 | errors: 0 | ETA: 17.4m
    [8850/23865] 14.4/s | YES: 4618 NO: 4232 | errors: 0 | ETA: 17.3m
    [8900/23865] 14.4/s | YES: 4632 NO: 4268 | errors: 0 | ETA: 17.3m
    [8950/23865] 14.4/s | YES: 4647 NO: 4303 | errors: 0 | ETA: 17.2m
    [9000/23865] 14.4/s | YES: 4656 NO: 4344 | errors: 0 | ETA: 17.2m
    [9050/23865] 14.4/s | YES: 4671 NO: 4379 | errors: 0 | ETA: 17.1m
    [9100/23865] 14.4/s | YES: 4685 NO: 4415 | errors: 0 | ETA: 17.1m
    [9150/23865] 14.4/s | YES: 4697 NO: 4453 | errors: 0 | ETA: 17.0m
    [9200/23865] 14.4/s | YES: 4708 NO: 4492 | errors: 0 | ETA: 16.9m
    [9250/23865] 14.4/s | YES: 4735 NO: 4515 | errors: 0 | ETA: 16.9m
    [9300/23865] 14.5/s | YES: 4775 NO: 4525 | errors: 0 | ETA: 16.8m
    [9350/23865] 14.5/s | YES: 4806 NO: 4544 | errors: 0 | ETA: 16.7m
    [9400/23865] 14.5/s | YES: 4840 NO: 4560 | errors: 0 | ETA: 16.7m
