Loading raw data...
  Raw videos: 8108
  After dedup: 8108 unique videos

=== LLM classification (backlash vs neutral) ===
  Using model: anthropic/claude-sonnet-4
  Keys: 7, workers: 21 (3 per key)
  Videos to classify: 8108
  Pending: 8108 (skipping 0 already classified)
    [5900/8108] 8.8/s | YES: 3105 NO: 2774 | errors: 0 | ETA: 4.2m
    [5950/8108] 8.8/s | YES: 3127 NO: 2802 | errors: 0 | ETA: 4.1m
    [6000/8108] 8.8/s | YES: 3129 NO: 2850 | errors: 0 | ETA: 4.0m
    [6050/8108] 8.8/s | YES: 3135 NO: 2893 | errors: 0 | ETA: 3.9m
    [6100/8108] 8.8/s | YES: 3159 NO: 2918 | errors: 0 | ETA: 3.8m
    [6150/8108] 8.8/s | YES: 3193 NO: 2934 | errors: 0 | ETA: 3.7m
    [6200/8108] 8.7/s | YES: 3224 NO: 2953 | errors: 0 | ETA: 3.6m
    [6250/8108] 8.7/s | YES: 3254 NO: 2973 | errors: 0 | ETA: 3.6m
    [6300/8108] 8.7/s | YES: 3276 NO: 3001 | errors: 0 | ETA: 3.5m
    [6350/8108] 8.7/s | YES: 3299 NO: 3028 | errors: 0 | ETA: 3.4m
    [6400/8108] 8.7/s | YES: 3311 NO: 3066 | errors: 0 | ETA: 3.3m
    [6450/8108] 8.6/s | YES: 3325 NO: 3101 | errors: 0 | ETA: 3.2m
    [6500/8108] 8.6/s | YES: 3345 NO: 3131 | errors: 0 | ETA: 3.1m
    [6550/8108] 8.6/s | YES: 3368 NO: 3158 | errors: 0 | ETA: 3.0m
    [6600/8108] 8.6/s | YES: 3393 NO: 3183 | errors: 0 | ETA: 2.9m
    [6650/8108] 8.6/s | YES: 3416 NO: 3210 | errors: 0 | ETA: 2.8m
    [6700/8108] 8.6/s | YES: 3445 NO: 3231 | errors: 0 | ETA: 2.7m
    [6750/8108] 8.5/s | YES: 3490 NO: 3236 | errors: 0 | ETA: 2.6m
    [6800/8108] 8.5/s | YES: 3529 NO: 3247 | errors: 0 | ETA: 2.6m
    [6850/8108] 8.5/s | YES: 3566 NO: 3260 | errors: 0 | ETA: 2.5m
    [6900/8108] 8.5/s | YES: 3600 NO: 3276 | errors: 0 | ETA: 2.4m
    [6950/8108] 8.5/s | YES: 3627 NO: 3299 | errors: 0 | ETA: 2.3m
    [7000/8108] 8.5/s | YES: 3646 NO: 3330 | errors: 0 | ETA: 2.2m
    [7050/8108] 8.5/s | YES: 3665 NO: 3361 | errors: 0 | ETA: 2.1m
