Raw input    : C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\raw\tiktok_positive_raw.json
Polarity     : positive
Output CSV   : C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\tiktok_positive_positive_filtered.csv
Progress file: C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\tiktok_positive_positive_filter_progress.json

Loading raw data...
  Raw videos: 7543
  After dedup: 7543 unique videos

=== LLM classification (positive vs not) ===
  Using model: anthropic/claude-sonnet-4
  Keys: 7, workers: 21 (3 per key)
  Videos to classify: 7543
  Progress file: C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\tiktok_positive_positive_filter_progress.json
  Output column: _positive
  Pending: 7543 (skipping 0 already classified)
    [5950/7543] 7.3/s | YES: 4171 NO: 1704 | errors: 0 | ETA: 3.7m
    [6000/7543] 7.3/s | YES: 4206 NO: 1719 | errors: 0 | ETA: 3.5m
    [6050/7543] 7.3/s | YES: 4240 NO: 1735 | errors: 0 | ETA: 3.4m
    [6100/7543] 7.4/s | YES: 4272 NO: 1753 | errors: 0 | ETA: 3.3m
    [6150/7543] 7.4/s | YES: 4299 NO: 1776 | errors: 0 | ETA: 3.1m
    [6200/7543] 7.4/s | YES: 4329 NO: 1795 | errors: 0 | ETA: 3.0m
    [6250/7543] 7.4/s | YES: 4361 NO: 1813 | errors: 0 | ETA: 2.9m
    [6300/7543] 7.5/s | YES: 4394 NO: 1830 | errors: 0 | ETA: 2.8m
    [6350/7543] 7.5/s | YES: 4422 NO: 1852 | errors: 0 | ETA: 2.7m
    [6400/7543] 7.5/s | YES: 4462 NO: 1862 | errors: 0 | ETA: 2.5m
    [6450/7543] 7.5/s | YES: 4500 NO: 1874 | errors: 0 | ETA: 2.4m
    [6500/7543] 7.6/s | YES: 4536 NO: 1888 | errors: 0 | ETA: 2.3m
    [6550/7543] 7.6/s | YES: 4572 NO: 1902 | errors: 0 | ETA: 2.2m
    [6600/7543] 7.6/s | YES: 4613 NO: 1911 | errors: 0 | ETA: 2.1m
    [6650/7543] 7.7/s | YES: 4652 NO: 1922 | errors: 0 | ETA: 1.9m
    [6700/7543] 7.7/s | YES: 4690 NO: 1933 | errors: 0 | ETA: 1.8m
    [6750/7543] 7.7/s | YES: 4732 NO: 1939 | errors: 0 | ETA: 1.7m
    [6800/7543] 7.7/s | YES: 4765 NO: 1956 | errors: 0 | ETA: 1.6m
    [6850/7543] 7.8/s | YES: 4793 NO: 1978 | errors: 0 | ETA: 1.5m
    [6900/7543] 7.8/s | YES: 4819 NO: 2002 | errors: 0 | ETA: 1.4m
    [6950/7543] 7.8/s | YES: 4848 NO: 2022 | errors: 0 | ETA: 1.3m
    [7000/7543] 7.8/s | YES: 4890 NO: 2030 | errors: 0 | ETA: 1.2m
    [7050/7543] 7.9/s | YES: 4926 NO: 2044 | errors: 0 | ETA: 1.0m
    [7100/7543] 7.9/s | YES: 4950 NO: 2069 | errors: 0 | ETA: 0.9m
    [7150/7543] 7.9/s | YES: 4975 NO: 2094 | errors: 0 | ETA: 0.8m
    [7200/7543] 7.9/s | YES: 5004 NO: 2115 | errors: 0 | ETA: 0.7m
    [7250/7543] 8.0/s | YES: 5029 NO: 2140 | errors: 0 | ETA: 0.6m
    [7300/7543] 8.0/s | YES: 5056 NO: 2162 | errors: 0 | ETA: 0.5m
    [7350/7543] 8.0/s | YES: 5095 NO: 2173 | errors: 0 | ETA: 0.4m
    [7400/7543] 8.0/s | YES: 5121 NO: 2197 | errors: 0 | ETA: 0.3m
    [7450/7543] 8.1/s | YES: 5144 NO: 2224 | errors: 0 | ETA: 0.2m
    [7500/7543] 8.1/s | YES: 5162 NO: 2256 | errors: 0 | ETA: 0.1m
    [7543/7543] 8.1/s | YES: 5184 NO: 2277 | errors: 0 | ETA: 0.0m

  Done in 15m 30s. API calls: 7543, errors: 0
    YES: 5184 (68.7%)
    NO: 2277 (30.2%)
    UNKNOWN: 82 (1.1%)

Saved 7543 videos to C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\tiktok_positive_positive_filtered.csv

=== FINAL SUMMARY ===
  POSITIVE (YES): 5184 videos, 2,891,226,962 views
  NOT POSITIVE (NO): 2277 videos, 2,780,555,197 views
